Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,61.480000,61.799999,60.459999,60.590000,59.916580,219200
2019-06-06,60.380001,61.110001,58.700001,59.680000,59.016693,255400
2019-06-07,59.959999,61.389999,59.849998,60.360001,59.689140,282600
2019-06-10,60.580002,61.480000,60.419998,60.540001,59.867138,175000
2019-06-11,61.000000,61.130001,59.290001,59.529999,58.868359,199400
2019-06-12,59.549999,59.860001,58.880001,59.240002,58.581585,246600
2019-06-13,59.500000,61.000000,59.160000,60.810001,60.134132,178500
2019-06-14,60.630001,61.099998,59.750000,59.990002,59.323246,152300
2019-06-17,59.939999,59.939999,58.380001,59.480000,58.818913,252500
2019-06-18,59.860001,60.849998,59.320000,60.110001,59.441917,156800
2019-06-19,60.119999,60.259998,59.500000,59.630001,58.967247,141300
2019-06-20,60.130001,60.169998,58.709999,59.439999,58.779358,224300
2019-06-21,59.080002,59.919998,57.840000,57.950001,57.305920,354000
2019-06-24,57.889999,57.889999,56.189999,56.700001,56.069817,292800
2019-06-25,56.669998,57.360001,56.000000,56.070000,55.446812,193600
2019-06-26,56.279999,57.169998,56.020000,56.939999,56.307144,201700
2019-06-27,56.470001,58.250000,56.209999,58.060001,57.535957,273800
2019-06-28,57.959999,60.980000,57.689999,60.669998,60.122395,516300
2019-07-01,61.049999,61.209999,59.919998,60.980000,60.429600,347100
2019-07-02,61.169998,61.779999,60.470001,61.220001,60.667431,300900
2019-07-03,61.500000,62.000000,61.009998,61.980000,61.420574,75400
2019-07-05,61.470001,62.500000,60.500000,62.310001,61.747597,150500
2019-07-08,62.029999,62.560001,61.810001,62.389999,61.826874,184300
2019-07-09,62.080002,62.310001,61.750000,62.090000,61.529583,140200
2019-07-10,62.590000,63.400002,61.240002,61.290001,60.736805,221500
2019-07-11,61.439999,61.689999,59.660000,60.400002,59.854836,303300
2019-07-12,60.619999,61.240002,60.000000,60.740002,60.191765,296900
2019-07-15,60.790001,60.919998,59.610001,59.830002,59.289982,201000
2019-07-16,60.110001,61.779999,60.110001,61.419998,60.865627,131700
2019-07-17,61.230000,61.500000,60.270000,60.279999,59.735916,104400
2019-07-18,60.130001,60.830002,59.759998,60.709999,60.162037,127100
2019-07-19,60.520000,61.320000,59.570000,59.570000,59.032326,195100
2019-07-22,59.580002,60.759998,59.580002,60.470001,59.924202,112000
2019-07-23,60.560001,61.560001,60.560001,61.220001,60.667431,184500
2019-07-24,60.860001,62.889999,60.759998,62.680000,62.114258,124400
2019-07-25,61.799999,62.669998,60.820000,61.099998,60.548512,239000
2019-07-26,61.419998,61.889999,60.970001,61.740002,61.182743,150900
2019-07-29,61.520000,62.020000,61.220001,61.830002,61.271931,126900
2019-07-30,61.360001,62.470001,61.169998,62.360001,61.797146,167300
2019-07-31,62.450001,62.950001,60.630001,60.709999,60.162037,292100
2019-08-01,63.330002,63.330002,60.099998,60.750000,60.201675,242400
2019-08-02,60.330002,61.380001,58.840000,59.419998,58.883682,116900
2019-08-05,58.240002,58.240002,55.040001,56.049999,55.544098,191500
2019-08-06,56.450001,57.259998,55.669998,57.169998,56.653988,190300
2019-08-07,56.279999,57.930000,56.279999,57.750000,57.228752,174600
